Name,Surname,Real Name,Type,Gender,Nationality,Complete Name (Name Surname),Complete Name (Surname Name)
Franz,von Bayros,,"Illustrator, Painter",Male,Austrian,"Franz, von Bayros","von Bayros, Franz"
Franz,von Stuck,,"Painter, Sculptor",Male,German,"Franz, von Stuck","von Stuck, Franz"
Frederick,Sandys,,Painter,Male,British,"Frederick, Sandys","Sandys, Frederick"
Frederick,Wiseman,,Documentary Filmmaker,Male,American,"Frederick, Wiseman","Wiseman, Frederick"
Frida,Kahlo,,Painter,Female,Mexican,"Frida, Kahlo","Kahlo, Frida"
Friedrich,Nietzsche,,"Philosopher, Poet",Male,German,"Friedrich, Nietzsche","Nietzsche, Friedrich"
Friedrich,Schelling,,Philosopher,Male,German,"Friedrich, Schelling","Schelling, Friedrich"
Friedrich,Schröder-Sonnenstern,,Painter,Male,German,"Friedrich, Schröder-Sonnenstern","Schröder-Sonnenstern, Friedrich"
Fritz,Lang,,"Film Director, Screenwriter",Male,"Austrian, German","Fritz, Lang","Lang, Fritz"
Fyodor,Dostoevsky,,"Novelist, Short Story Writer, Journalist",Male,Russian,"Fyodor, Dostoevsky","Dostoevsky, Fyodor"
G.I.,Gurdjieff,George Ivanovich Gurdjieff,"Mystic, Spiritual Teacher",Male,"Armenian, Greek","G.I., Gurdjieff","Gurdjieff, G.I."
Gabriel,García Márquez,,"Novelist, Short Story Writer, Journalist",Male,Colombian,"Gabriel, García Márquez","García Márquez, Gabriel"
Gaetano,Previati,,Painter,Male,Italian,"Gaetano, Previati","Previati, Gaetano"
Gaspar,Noé,,"Film Director, Screenwriter",Male,"Argentine, French","Gaspar, Noé","Noé, Gaspar"
Gaston,Bachelard,,"Philosopher, Epistemologist",Male,French,"Gaston, Bachelard","Bachelard, Gaston"
Gay,Talese,,"Journalist, Writer",Male,American,"Gay, Talese","Talese, Gay"
Gayatri Chakravorty,Spivak,,"Philosopher, Literary Theorist",Female,"Indian, American","Gayatri Chakravorty, Spivak","Spivak, Gayatri Chakravorty"
Geoffrey,Chaucer,,Poet,Male,English,"Geoffrey, Chaucer","Chaucer, Geoffrey"
Georg Wilhelm Friedrich,Hegel,,Philosopher,Male,German,"Georg Wilhelm Friedrich, Hegel","Hegel, Georg Wilhelm Friedrich"
Georg,Büchner,,"Playwright, Poet",Male,German,"Georg, Büchner","Büchner, Georg"
George Frederic,Watts,,"Painter, Sculptor",Male,British,"George Frederic, Watts","Watts, George Frederic"
George,Berkeley,,Philosopher,Male,Irish,"George, Berkeley","Berkeley, George"
George,Eliot,Mary Ann Evans,"Novelist, Poet, Journalist",Female,English,"George, Eliot","Eliot, George"
George,Orwell,Eric Arthur Blair,"Novelist, Essayist, Journalist",Male,British,"George, Orwell","Orwell, George"
George,Santayana,,"Philosopher, Poet",Male,"Spanish, American","George, Santayana","Santayana, George"
George,Saunders,,"Short Story Writer, Novelist, Essayist",Male,American,"George, Saunders","Saunders, George"
Georges,Bataille,,"Philosopher, Novelist, Literary Critic",Male,French,"Georges, Bataille","Bataille, Georges"
Georges,Perec,,"Novelist, Essayist",Male,French,"Georges, Perec","Perec, Georges"
Georgia,O'Keeffe,,Painter,Female,American,"Georgia, O'Keeffe","O'Keeffe, Georgia"
Gérard,Wagner,,Painter,Male,German,"Gérard, Wagner","Wagner, Gérard"
Gerhard,Richter,,Painter,Male,German,"Gerhard, Richter","Richter, Gerhard"
Gerrit,Dou,,Painter,Male,Dutch,"Gerrit, Dou","Dou, Gerrit"
Gertrude,Stein,,"Novelist, Poet, Playwright",Female,American,"Gertrude, Stein","Stein, Gertrude"
Giambologna,,Jean Boulogne,Sculptor,Male,"Flemish, Italian",Giambologna,Giambologna
Gilbert,Simondon,,Philosopher,Male,French,"Gilbert, Simondon","Simondon, Gilbert"
Gilles,Deleuze,,Philosopher,Male,French,"Gilles, Deleuze","Deleuze, Gilles"
Gino,Severini,,Painter,Male,Italian,"Gino, Severini","Severini, Gino"
Giordano,Bruno,,"Philosopher, Astronomer, Occultist",Male,Italian,"Giordano, Bruno","Bruno, Giordano"
Giorgio,Agamben,,Philosopher,Male,Italian,"Giorgio, Agamben","Agamben, Giorgio"
Giorgio,Bassani,,"Novelist, Poet",Male,Italian,"Giorgio, Bassani","Bassani, Giorgio"
Giorgio,de Chirico,,Painter,Male,Italian,"Giorgio, de Chirico","de Chirico, Giorgio"
Giorgione,,Giorgio Barbarelli da Castelfranco,Painter,Male,Italian,Giorgione,Giorgione
Giotto,,Giotto di Bondone,"Painter, Architect",Male,Italian,Giotto,Giotto
Giovanni,Boldini,,Painter,Male,Italian,"Giovanni, Boldini","Boldini, Giovanni"
Giovanni,Segantini,,Painter,Male,Italian,"Giovanni, Segantini","Segantini, Giovanni"
Giuseppe Tomasi,Di Lampedusa,,Novelist,Male,Italian,"Giuseppe Tomasi, Di Lampedusa","Di Lampedusa, Giuseppe Tomasi"
Giuseppe,Tornatore,,"Film Director, Screenwriter",Male,Italian,"Giuseppe, Tornatore","Tornatore, Giuseppe"
Glauber,Rocha,,"Film Director, Writer",Male,Brazilian,"Glauber, Rocha","Rocha, Glauber"
Gorgias,,,"Philosopher, Rhetorician",Male,Greek,Gorgias,Gorgias
Gottfried Wilhelm,Leibniz,,"Philosopher, Mathematician",Male,German,"Gottfried Wilhelm, Leibniz","Leibniz, Gottfried Wilhelm"
Gottfried,Helnwein,,"Painter, Photographer",Male,Austrian,"Gottfried, Helnwein","Helnwein, Gottfried"
Graham,Harman,,Philosopher,Male,American,"Graham, Harman","Harman, Graham"
Guido,Cagnacci,,Painter,Male,Italian,"Guido, Cagnacci","Cagnacci, Guido"
Gus,Van Sant,,"Film Director, Screenwriter",Male,American,"Gus, Van Sant","Van Sant, Gus"
Gustav,Klimt,,Painter,Male,Austrian,"Gustav, Klimt","Klimt, Gustav"
Gustave,Doré,,"Printmaker, Illustrator",Male,French,"Gustave, Doré","Doré, Gustave"
Gustave,Flaubert,,Novelist,Male,French,"Gustave, Flaubert","Flaubert, Gustave"
Gustave,Moreau,,Painter,Male,French,"Gustave, Moreau","Moreau, Gustave"
Guy,Debord,,"Philosopher, Marxist Theorist",Male,French,"Guy, Debord","Debord, Guy"
H.P.,Lovecraft,,Horror Writer,Male,American,"H.P., Lovecraft","Lovecraft, H.P."
Halldór,Laxness,,"Novelist, Poet, Playwright",Male,Icelandic,"Halldór, Laxness","Laxness, Halldór"
Hannah,Arendt,,"Philosopher, Political Theorist",Female,"German, American","Hannah, Arendt","Arendt, Hannah"
Hans,Baldung,,"Painter, Printmaker",Male,German,"Hans, Baldung","Baldung, Hans"
Hans,Bellmer,,"Painter, Sculptor, Photographer",Male,German,"Hans, Bellmer","Bellmer, Hans"
Hans,Holbein the Younger,,Painter,Male,German,"Hans, Holbein the Younger","Holbein the Younger, Hans"
Hans,Makart,,Painter,Male,Austrian,"Hans, Makart","Makart, Hans"
Hans,Memling,,Painter,Male,"German, Flemish","Hans, Memling","Memling, Hans"
Hanya,Yanagihara,,Novelist,Female,American,"Hanya, Yanagihara","Yanagihara, Hanya"
Harry,Clarke,,"Illustrator, Stained Glass Artist",Male,Irish,"Harry, Clarke","Clarke, Harry"
Haruki,Murakami,,"Novelist, Short Story Writer",Male,Japanese,"Haruki, Murakami","Murakami, Haruki"
Heinrich,von Kleist,,"Poet, Playwright, Novelist",Male,German,"Heinrich, von Kleist","von Kleist, Heinrich"
Helena,Blavatsky,,"Occult Philosopher, Theosophist",Female,Russian,"Helena, Blavatsky","Blavatsky, Helena"
Hélène,Cixous,,"Philosopher, Literary Critic, Novelist",Female,French,"Hélène, Cixous","Cixous, Hélène"
Henri,Bergson,,Philosopher,Male,French,"Henri, Bergson","Bergson, Henri"
Henri,Matisse,,"Painter, Sculptor",Male,French,"Henri, Matisse","Matisse, Henri"
Henri-Jean,Martin,,Painter,Male,French,"Henri-Jean, Martin","Martin, Henri-Jean"
Henrik,Ibsen,,Playwright,Male,Norwegian,"Henrik, Ibsen","Ibsen, Henrik"
Henry,David Thoreau,,"Essayist, Poet, Philosopher",Male,American,"Henry, David Thoreau","David Thoreau, Henry"
Henry,Fuseli,Johann Heinrich Füssli,Painter,Male,Swiss,"Henry, Fuseli","Fuseli, Henry"
Henry,James,,"Novelist, Literary Critic",Male,American,"Henry, James","James, Henry"
Henry,Moore,,Sculptor,Male,British,"Henry, Moore","Moore, Henry"
Heraclitus,,,Philosopher,Male,Greek,Heraclitus,Heraclitus
Herbert,Marcuse,,"Philosopher, Sociologist",Male,"German, American","Herbert, Marcuse","Marcuse, Herbert"
Herman,Melville,,"Novelist, Short Story Writer, Poet",Male,American,"Herman, Melville","Melville, Herman"
Hermann,Broch,,"Novelist, Playwright, Philosopher",Male,Austrian,"Hermann, Broch","Broch, Hermann"
Herō,Maeta,,Painter,Male,Japanese,"Herō, Maeta","Maeta, Herō"
Herta,Müller,,"Novelist, Poet, Essayist",Female,"Romanian, German","Herta, Müller","Müller, Herta"
Hieronymus,Bosch,,Painter,Male,Dutch,"Hieronymus, Bosch","Bosch, Hieronymus"
Hildegard of,Bingen,,"Illuminator, Mystic",Female,German,"Hildegard of, Bingen","Bingen, Hildegard of"
Hilma af,Klint,,"Painter, Mystic",Female,Swedish,"Hilma af, Klint","Klint, Hilma af"
Hirokazu,Kore-eda,,"Film Director, Screenwriter",Male,Japanese,"Hirokazu, Kore-eda","Kore-eda, Hirokazu"
Honoré,de Balzac,,"Novelist, Playwright",Male,French,"Honoré, de Balzac","de Balzac, Honoré"
Horacio,Quiroga,,Short Story Writer,Male,Uruguayan,"Horacio, Quiroga","Quiroga, Horacio"
Hou,Hsiao-hsien,,"Film Director, Screenwriter",Male,Taiwanese,"Hou, Hsiao-hsien","Hsiao-hsien, Hou"
Howard,Zinn,,"Historian, Playwright",Male,American,"Howard, Zinn","Zinn, Howard"
Hubert,Selby Jr.,,Novelist,Male,American,"Hubert, Selby Jr.","Selby Jr., Hubert"
Hunter S.,Thompson,,"Journalist, Writer",Male,American,"Hunter S., Thompson","Thompson, Hunter S."
Hypatia,,,"Philosopher, Mathematician, Astronomer",Female,"Greek, Egyptian",Hypatia,Hypatia
I.F.,Stone,Isidor Feinstein Stone,Investigative Journalist,Male,American,"I.F., Stone","Stone, I.F."
Ibn,Arabi,Muhyiddin Ibn Arabi,"Sufi Mystic, Philosopher",Male,Andalusian,"Ibn, Arabi","Arabi, Ibn"
Immanuel,Kant,,Philosopher,Male,German,"Immanuel, Kant","Kant, Immanuel"
Ingeborg,Bachmann,,"Poet, Novelist",Female,Austrian,"Ingeborg, Bachmann","Bachmann, Ingeborg"
Ingmar,Bergman,,"Film Director, Screenwriter, Theatre Director",Male,Swedish,"Ingmar, Bergman","Bergman, Ingmar"
Irenaeus,,,Theologian,Male,Greek,Irenaeus,Irenaeus
Iris,Murdoch,,"Novelist, Philosopher",Female,"Irish, British","Iris, Murdoch","Murdoch, Iris"
Isaac,Asimov,,"Science Fiction Writer, Science Writer",Male,"Russian, American","Isaac, Asimov","Asimov, Isaac"
Isaac,Bashevis Singer,,"Novelist, Short Story Writer",Male,"Polish, American","Isaac, Bashevis Singer","Bashevis Singer, Isaac"
Isabelle,Stengers,,Philosopher,Female,Belgian,"Isabelle, Stengers","Stengers, Isabelle"
Isao,Takahata,,"Film Director, Screenwriter",Male,Japanese,"Isao, Takahata","Takahata, Isao"
Israel,Regardie,,"Occultist, Writer",Male,"British, American","Israel, Regardie","Regardie, Israel"
Italo,Calvino,,"Journalist, Short Story Writer, Novelist",Male,Italian,"Italo, Calvino","Calvino, Italo"
Ivan,Albright,,Painter,Male,American,"Ivan, Albright","Albright, Ivan"
Ivan,Turgenev,,"Novelist, Short Story Writer, Playwright",Male,Russian,"Ivan, Turgenev","Turgenev, Ivan"
J.G.,Ballard,,"Novelist, Short Story Writer",Male,British,"J.G., Ballard","Ballard, J.G."
J.M.,Coetzee,,"Novelist, Essayist, Literary Critic",Male,"South African, Australian","J.M., Coetzee","Coetzee, J.M."
Jacek,Malczewski,,Painter,Male,Polish,"Jacek, Malczewski","Malczewski, Jacek"
Jack,Kerouac,,"Novelist, Poet",Male,American,"Jack, Kerouac","Kerouac, Jack"
Jack,London,,"Novelist, Journalist",Male,American,"Jack, London","London, Jack"
Jackson,Pollock,,Painter,Male,American,"Jackson, Pollock","Pollock, Jackson"
Jacob,Böhme,,"Christian Mystic, Theologian",Male,German,"Jacob, Böhme","Böhme, Jacob"
Jacques,Demy,,"Film Director, Screenwriter",Male,French,"Jacques, Demy","Demy, Jacques"
Jacques,Derrida,,Philosopher,Male,French,"Jacques, Derrida","Derrida, Jacques"
Jacques,Lacan,,"Philosopher, Psychoanalyst",Male,French,"Jacques, Lacan","Lacan, Jacques"
Jacques,Rivette,,"Film Director, Film Critic",Male,French,"Jacques, Rivette","Rivette, Jacques"
Jacques,Tati,Jacques Tatischeff,"Film Director, Actor",Male,French,"Jacques, Tati","Tati, Jacques"
Jakob,Böhme,,"Philosopher, Christian Mystic",Male,German,"Jakob, Böhme","Böhme, Jakob"
Jakub,Schikaneder,,Painter,Male,Czech,"Jakub, Schikaneder","Schikaneder, Jakub"
James Baldwin,,,"Novelist, Playwright, Essayist, Poet",Male,American,James Baldwin,James Baldwin
James,Ensor,,Painter,Male,Belgian,"James, Ensor","Ensor, James"
James,Hogg,,"Novelist, Poet",Male,Scottish,"James, Hogg","Hogg, James"
James,Joyce,,"Novelist, Short Story Writer, Poet",Male,Irish,"James, Joyce","Joyce, James"
James,Turrell,,"Installation Artist, Light Artist",Male,American,"James, Turrell","Turrell, James"
James,Whistler,,Painter,Male,American,"James, Whistler","Whistler, James"
Jan,Luyken,,"Printmaker, Poet",Male,Dutch,"Jan, Luyken","Luyken, Jan"
Jan,Toorop,,Painter,Male,"Dutch, Indonesian","Jan, Toorop","Toorop, Jan"
Jean,Baudrillard,,"Philosopher, Sociologist",Male,French,"Jean, Baudrillard","Baudrillard, Jean"
Jean,Delville,,Painter,Male,Belgian,"Jean, Delville","Delville, Jean"
Jean,Gebser,,"Cultural Philosopher, Poet",Male,"German, Swiss","Jean, Gebser","Gebser, Jean"
Jean,Genet,,"Novelist, Playwright, Poet, Essayist",Male,French,"Jean, Genet","Genet, Jean"
Jean,Renoir,,Film Director,Male,French,"Jean, Renoir","Renoir, Jean"
Jean,Rhys,,"Novelist, Short Story Writer",Female,"Dominican, British","Jean, Rhys","Rhys, Jean"
Jean,Vigo,,Film Director,Male,French,"Jean, Vigo","Vigo, Jean"
Jean-Antoine,Watteau,,Painter,Male,French,"Jean-Antoine, Watteau","Watteau, Jean-Antoine"
Jean-Jacques,Rousseau,,"Philosopher, Writer",Male,"Genevan, Swiss","Jean-Jacques, Rousseau","Rousseau, Jean-Jacques"
Jean-Léon,Gérôme,,"Painter, Sculptor",Male,French,"Jean-Léon, Gérôme","Gérôme, Jean-Léon"
Jean-Luc,Godard,,"Film Director, Film Critic",Male,"French, Swiss","Jean-Luc, Godard","Godard, Jean-Luc"
Jean-Luc,Nancy,,Philosopher,Male,French,"Jean-Luc, Nancy","Nancy, Jean-Luc"
Jean-Marie,Straub,,Film Director,Male,French,"Jean-Marie, Straub","Straub, Jean-Marie"
Jean-Michel,Basquiat,,Painter,Male,American,"Jean-Michel, Basquiat","Basquiat, Jean-Michel"
Jeanne,Mammen,,Painter,Female,German,"Jeanne, Mammen","Mammen, Jeanne"
Jean-Paul,Sartre,,"Philosopher, Writer, Novelist, Playwright",Male,French,"Jean-Paul, Sartre","Sartre, Jean-Paul"
Jean-Pierre,Roy,,Painter,Male,American,"Jean-Pierre, Roy","Roy, Jean-Pierre"
Jeff,Koons,,Sculptor,Male,American,"Jeff, Koons","Koons, Jeff"
Jennifer,Kent,,"Film Director, Screenwriter",Female,Australian,"Jennifer, Kent","Kent, Jennifer"
Jenny,Holzer,,"Conceptual Artist, Installation Artist",Female,American,"Jenny, Holzer","Holzer, Jenny"
Jeremy,Bentham,,"Philosopher, Jurist",Male,English,"Jeremy, Bentham","Bentham, Jeremy"
Jerzy,Kawalerowicz,,"Film Director, Screenwriter",Male,Polish,"Jerzy, Kawalerowicz","Kawalerowicz, Jerzy"
Jerzy,Skolimowski,,"Film Director, Screenwriter, Actor",Male,Polish,"Jerzy, Skolimowski","Skolimowski, Jerzy"
Jia,Zhangke,,Film Director,Male,Chinese,"Jia, Zhangke","Zhangke, Jia"
Jirō,Yanagimachi,,"Film Director, Writer",Male,Japanese,"Jirō, Yanagimachi","Yanagimachi, Jirō"
Joan,Didion,,"Novelist, Essayist, Journalist",Female,American,"Joan, Didion","Didion, Joan"
Joan,Miró,,"Painter, Sculptor, Ceramicist",Male,Spanish,"Joan, Miró","Miró, Joan"
João Pedro,Rodrigues,,Film Director,Male,Portuguese,"João Pedro, Rodrigues","Rodrigues, João Pedro"
João,Guimarães Rosa,,"Novelist, Short Story Writer",Male,Brazilian,"João, Guimarães Rosa","Guimarães Rosa, João"
Joel-Peter,Witkin,,"Photographer, Painter",Male,American,"Joel-Peter, Witkin","Witkin, Joel-Peter"
Johann Wolfgang von,Goethe,,"Poet, Novelist, Playwright, Scientist",Male,German,"Johann Wolfgang von, Goethe","Goethe, Johann Wolfgang von"
John Everett,Millais,,Painter,Male,British,"John Everett, Millais","Millais, John Everett"
John Henry,Newman,,"Theologian, Philosopher",Male,British,"John Henry, Newman","Newman, John Henry"
John Singer,Sargent,,Painter,Male,American,"John Singer, Sargent","Sargent, John Singer"
John Stuart,Mill,,"Philosopher, Political Economist",Male,English,"John Stuart, Mill","Mill, John Stuart"
John William,Waterhouse,,Painter,Male,British,"John William, Waterhouse","Waterhouse, John William"
John,Ashbery,,Poet,Male,American,"John, Ashbery","Ashbery, John"
John,Barth,,"Novelist, Short Story Writer",Male,American,"John, Barth","Barth, John"
John,Berger,,"Art Critic, Novelist, Painter",Male,British,"John, Berger","Berger, John"
John,Cassavetes,,"Film Director, Actor",Male,American,"John, Cassavetes","Cassavetes, John"
John,Cheever,,"Novelist, Short Story Writer",Male,American,"John, Cheever","Cheever, John"
John,Crowley,,Novelist,Male,American,"John, Crowley","Crowley, John"
John,Dewey,,"Philosopher, Psychologist",Male,American,"John, Dewey","Dewey, John"
John,Dos Passos,,"Novelist, Journalist, Essayist",Male,American,"John, Dos Passos","Dos Passos, John"
John,Keats,,Poet,Male,English,"John, Keats","Keats, John"
John,Langan,,"Horror Writer, Academic",Male,American,"John, Langan","Langan, John"
John,Locke,,Philosopher,Male,English,"John, Locke","Locke, John"
John,Martin,,Painter,Male,British,"John, Martin","Martin, John"
John,Milton,,"Poet, Polemicist",Male,English,"John, Milton","Milton, John"
John,Pilger,,"Journalist, Documentary Filmmaker",Male,Australian,"John, Pilger","Pilger, John"
John,Rawls,,Philosopher,Male,American,"John, Rawls","Rawls, John"
John,Steinbeck,,"Novelist, Short Story Writer",Male,American,"John, Steinbeck","Steinbeck, John"
John,Updike,,"Novelist, Short Story Writer, Poet",Male,American,"John, Updike","Updike, John"
Jon,Fosse,,"Novelist, Poet, Playwright",Male,Norwegian,"Jon, Fosse","Fosse, Jon"
Jonathan,Littell,,Novelist,Male,"American, French","Jonathan, Littell","Littell, Jonathan"
Jordan,Peele,,"Film Director, Screenwriter, Actor",Male,American,"Jordan, Peele","Peele, Jordan"
Jorge Luis,Borges,,"Short Story Writer, Poet, Essayist",Male,Argentine,"Jorge Luis, Borges","Borges, Jorge Luis"
Joris-Karl,Huysmans,Charles Marie Georges Huysmans,Novelist,Male,French,"Joris-Karl, Huysmans","Huysmans, Joris-Karl"
José,Donoso,,"Novelist, Short Story Writer",Male,Chilean,"José, Donoso","Donoso, José"
José,Gutiérrez Solana,,Painter,Male,Spanish,"José, Gutiérrez Solana","Gutiérrez Solana, José"
José,Lezama Lima,,"Poet, Novelist",Male,Cuban,"José, Lezama Lima","Lezama Lima, José"
José,Saramago,,"Novelist, Poet, Playwright",Male,Portuguese,"José, Saramago","Saramago, José"
Joseph,Campbell,,"Mythologist, Writer",Male,American,"Joseph, Campbell","Campbell, Joseph"
Joseph,Conrad,Józef Teodor Konrad Korzeniowski,Novelist,Male,"Polish, British","Joseph, Conrad","Conrad, Joseph"
Joseph,Pulitzer,,"Newspaper Publisher, Journalist",Male,"Hungarian, American","Joseph, Pulitzer","Pulitzer, Joseph"
Joseph,Vargo,,Painter,Male,American,"Joseph, Vargo","Vargo, Joseph"
Josh,Safdie,,"Film Director, Screenwriter, Producer",Male,American,"Josh, Safdie","Safdie, Josh"
Joyce Carol,Oates,,"Novelist, Short Story Writer, Playwright",Female,American,"Joyce Carol, Oates","Oates, Joyce Carol"
Józef,Mehoffer,,Painter,Male,Polish,"Józef, Mehoffer","Mehoffer, Józef"
Juan,Rulfo,,"Novelist, Short Story Writer, Photographer",Male,Mexican,"Juan, Rulfo","Rulfo, Juan"
Judith,Butler,,"Philosopher, Gender Theorist",Female,American,"Judith, Butler","Butler, Judith"
Judy,Chicago,,"Installation Artist, Feminist Artist",Female,American,"Judy, Chicago","Chicago, Judy"
Julia,Ducournau,,"Film Director, Screenwriter",Female,French,"Julia, Ducournau","Ducournau, Julia"
Julia,Kristeva,,"Philosopher, Literary Critic, Novelist, Psychoanalyst, Literary Theorist",Female,"Bulgarian, French","Julia, Kristeva","Kristeva, Julia"
Julian,Jaynes,,"Psychologist, Writer",Male,American,"Julian, Jaynes","Jaynes, Julian"
Julio Ramón,Ribeyro,,"Short Story Writer, Novelist, Playwright",Male,Peruvian,"Julio Ramón, Ribeyro","Ribeyro, Julio Ramón"
Julio,Cortázar,,"Novelist, Short Story Writer",Male,Argentine,"Julio, Cortázar","Cortázar, Julio"
Jürgen,Habermas,,"Philosopher, Sociologist",Male,German,"Jürgen, Habermas","Habermas, Jürgen"
Justine,Triet,,"Film Director, Screenwriter",Female,French,"Justine, Triet","Triet, Justine"
Kapuściński,Ryszard,,"Literary Journalist, Photographer",Male,Polish,"Kapuściński, Ryszard","Ryszard, Kapuściński"
Karen,Armstrong,,"Religious Scholar, Writer",Female,British,"Karen, Armstrong","Armstrong, Karen"
Karl Ove,Knausgård,,"Novelist, Autobiographer",Male,Norwegian,"Karl Ove, Knausgård","Knausgård, Karl Ove"
Karl,Marx,,"Philosopher, Economist, Journalist",Male,German,"Karl, Marx","Marx, Karl"
Karl,Mediz,,Painter,Male,Austrian,"Karl, Mediz","Mediz, Karl"
Karl,Popper,,Philosopher,Male,"Austrian, British","Karl, Popper","Popper, Karl"
Käthe,Kollwitz,,"Printmaker, Sculptor",Female,German,"Käthe, Kollwitz","Kollwitz, Käthe"
Kay,Sage,,Painter,Female,American,"Kay, Sage","Sage, Kay"
Kazimir,Malevich,,Painter,Male,Russian,"Kazimir, Malevich","Malevich, Kazimir"
Keith,Haring,,Artist,Male,American,"Keith, Haring","Haring, Keith"
Kelly,Reichardt,,"Film Director, Screenwriter",Female,American,"Kelly, Reichardt","Reichardt, Kelly"
Kenzaburō,Ōe,,"Novelist, Short Story Writer",Male,Japanese,"Kenzaburō, Ōe","Ōe, Kenzaburō"
Kira,Muratova,,"Film Director, Screenwriter",Female,Ukrainian,"Kira, Muratova","Muratova, Kira"
Kitagawa,Utamaro,,"Printmaker, Painter",Male,Japanese,"Kitagawa, Utamaro","Utamaro, Kitagawa"
Knut,Hamsun,,Novelist,Male,Norwegian,"Knut, Hamsun","Hamsun, Knut"
Kojin,Karatani,,"Philosopher, Literary Critic",Male,Japanese,"Kojin, Karatani","Karatani, Kojin"
Konstantin,Lopushansky,,"Film Director, Screenwriter",Male,Russian,"Konstantin, Lopushansky","Lopushansky, Konstantin"
Konstantin,Somov,,Painter,Male,Russian,"Konstantin, Somov","Somov, Konstantin"
Konstantin,Vasiliev,,Painter,Male,Russian,"Konstantin, Vasiliev","Vasiliev, Konstantin"
Kristin,Lavransdatter,,Novelist,Female,Norwegian,"Kristin, Lavransdatter","Lavransdatter, Kristin"
Krzysztof,Kieślowski,,"Film Director, Screenwriter",Male,Polish,"Krzysztof, Kieślowski","Kieślowski, Krzysztof"
Kurt,Vonnegut,,"Novelist, Short Story Writer, Essayist",Male,American,"Kurt, Vonnegut","Vonnegut, Kurt"
Kwame Anthony,Appiah,,Philosopher,Male,"Ghanaian, British, American","Kwame Anthony, Appiah","Appiah, Kwame Anthony"
Larisa,Shepitko,,"Film Director, Screenwriter",Female,Soviet Ukrainian,"Larisa, Shepitko","Shepitko, Larisa"
Lars,von Trier,,"Film Director, Screenwriter",Male,Danish,"Lars, von Trier","von Trier, Lars"
László,Krasznahorkai,,"Novelist, Screenwriter",Male,Hungarian,"László, Krasznahorkai","Krasznahorkai, László"
Lav,Diaz,,"Film Director, Screenwriter",Male,Filipino,"Lav, Diaz","Diaz, Lav"
Lawrence,Alma-Tadema,,Painter,Male,"Dutch, British","Lawrence, Alma-Tadema","Alma-Tadema, Lawrence"
Lee,Braver,,Philosopher,Male,American,"Lee, Braver","Braver, Lee"
Lee,Chang-dong,,"Film Director, Novelist, Screenwriter",Male,South Korean,"Lee, Chang-dong","Chang-dong, Lee"
Lenny,Abrahamson,,Film Director,Male,Irish,"Lenny, Abrahamson","Abrahamson, Lenny"
Leo,Tolstoy,,"Novelist, Short Story Writer, Playwright",Male,Russian,"Leo, Tolstoy","Tolstoy, Leo"
Léon,Spilliaert,,Painter,Male,Belgian,"Léon, Spilliaert","Spilliaert, Léon"
Leonard,Cohen,,"Poet, Novelist, Songwriter",Male,Canadian,"Leonard, Cohen","Cohen, Leonard"
Leonardo,da Vinci,,"Painter, Sculptor, Polymath",Male,Italian,"Leonardo, da Vinci","da Vinci, Leonardo"
Leonor,Fini,,Painter,Female,"Argentine, Italian","Leonor, Fini","Fini, Leonor"
Leonora,Carrington,,"Painter, Novelist",Female,"British, Mexican","Leonora, Carrington","Carrington, Leonora"
Leopold von,Sacher-Masoch,,"Novelist, Journalist",Male,Austrian,"Leopold von, Sacher-Masoch","Sacher-Masoch, Leopold von"
Lisandro,Alonso,,Film Director,Male,Argentine,"Lisandro, Alonso","Alonso, Lisandro"
Louis,Janmot,,Painter,Male,French,"Louis, Janmot","Janmot, Louis"
Louise,Bourgeois,,"Sculptor, Installation Artist",Female,"French, American","Louise, Bourgeois","Bourgeois, Louise"
Louis-Ferdinand,Céline,Louis Ferdinand Auguste Destouches,Novelist,Male,French,"Louis-Ferdinand, Céline","Céline, Louis-Ferdinand"
Luca,Guadagnino,,"Film Director, Producer",Male,Italian,"Luca, Guadagnino","Guadagnino, Luca"
Luce,Irigaray,,"Philosopher, Psychoanalyst, Feminist",Female,"Belgian, French","Luce, Irigaray","Irigaray, Luce"
Luchino,Visconti,,"Film Director, Screenwriter",Male,Italian,"Luchino, Visconti","Visconti, Luchino"
Lucian,Freud,,Painter,Male,British,"Lucian, Freud","Freud, Lucian"
Lucien,Lévy-Dhurmer,,"Painter, Ceramicist",Male,French,"Lucien, Lévy-Dhurmer","Lévy-Dhurmer, Lucien"
Lucrecia,Martel,,"Film Director, Screenwriter",Female,Argentine,"Lucrecia, Martel","Martel, Lucrecia"
Lucretius,,Titus Lucretius Carus,"Poet, Philosopher",Male,Roman,Lucretius,Lucretius
Ludmilla,Petrushevskaya,,"Novelist, Playwright, Short Story Writer",Female,Russian,"Ludmilla, Petrushevskaya","Petrushevskaya, Ludmilla"
Ludwig,Wittgenstein,,Philosopher,Male,"Austrian, British","Ludwig, Wittgenstein","Wittgenstein, Ludwig"
Luigi,Pirandello,,"Playwright, Novelist, Short Story Writer",Male,Italian,"Luigi, Pirandello","Pirandello, Luigi"
Luis Ricardo,Falero,,Painter,Male,Spanish,"Luis Ricardo, Falero","Falero, Luis Ricardo"
Luis,Buñuel,,"Film Director, Screenwriter",Male,"Spanish, Mexican","Luis, Buñuel","Buñuel, Luis"
